agency	date	cost
Virginia Commonwealth University	2006-08-31	138636.9
Virginia Commonwealth University	2006-10-12	403010.58
Virginia Commonwealth University	2006-08-16	160015.579
Virginia Commonwealth University	2009-03-29	66436.9781
Virginia Commonwealth University	2011-11-11	183035.39
Virginia Commonwealth University	2014-04-01	1339285.16
Virginia Commonwealth University	2007-08-10	1219055.3794
Virginia Commonwealth University	2008-04-29	849414.386
Virginia Commonwealth University	2013-01-28	1283153.48
Virginia Commonwealth University	2004-10-27	338
Virginia Commonwealth University	2007-04-12	231164.34
Virginia Commonwealth University	2012-06-05	795121.3823
Virginia Commonwealth University	2014-05-30	1134142.75
Virginia Commonwealth University	2008-11-11	464979.234
Virginia Commonwealth University	2007-05-09	357969.43
Virginia Commonwealth University	2005-08-10	978994.162
Virginia Commonwealth University	2012-04-04	250328.296
Virginia Commonwealth University	2011-01-26	280646.249
Virginia Commonwealth University	2006-11-16	299802.224
Virginia Commonwealth University	2011-08-20	340.26
Virginia Commonwealth University	2014-10-30	289308.2995
Virginia Commonwealth University	2013-09-02	6311.307
Virginia Commonwealth University	2007-09-05	343831.48
Virginia Commonwealth University	2013-04-03	525531.6486
Virginia Commonwealth University	2009-03-19	272305.288
